name,categoria,carbo_g,sodio_mg,caffeina_mg,proteine_g
NDURAZ gel,Gel,45,460,0,0
NDURAZ caffeina gel,Gel,45,460,65,0
4endurance gel,Gel,30,100,0,0
VitaStrong gel,Gel,40,12,0,0
VitaStrong gel caffeina,Gel,37,12,100,0
Enervit Carbo gel C2:1,Gel,40,0,0,0
Prozis gel,Gel,29.5,0,0,0
SIS Beta Fuel,Gel,40,12,0,0
Volchem ENERGEN,Gel,21,43,0,0
Haribo 100g,Snack,79,20,0,5.7
Haribo singolo (5.5g),Snack,4.3,1.1,0,0.3
CliffBar,Barretta,35,228,0,11
Enervit barretta cocoa,Barretta,32,56,0,11.4
Naak Waffle,Barretta,16,168,0,3.3
Barretta Nature Valley caramello salato,Barretta,10.5,140,0,10.4
Barretta VitaStrong protein,Barretta,11,24,0,14
Enervit Carbo Bar C2:1PRO,Barretta,33.3,7.2,0,2
Pastiglie Nduranz Zero Drink,Sali,0,300,0,0
Sali capsule decathlon,Sali,0,118,0,0
Sali capsule Enervit,Sali,0,150,0,0
Capsula caffeina,Caffeina,0,0,200,0
Flask 60g malto+frutt,Flask,60,0,0,0
Flask 70g malto+frutt,Flask,70,0,0,0
Flask 75g malto+frutt,Flask,75,0,0,0
Flask 80g malto+frutt,Flask,80,0,0,0
Flask 90g malto+frutt,Flask,90,0,0,0
NDURAZ Drink Mix 100g,Drink Mix,93.8,304,0,0
NDURAZ Drink Mix 45g,Drink Mix,45,460,0,0
NDURAZ Drink Mix 96g,Drink Mix,90,291.8,0,0
NDURAZ NRGY drink bustina,Drink Mix,45,296,0,0
Cetilar Race Carb Caf 80g,Drink Mix,76.5,4,150,0
Coca cola bicchiere,Bevanda,15.9,0,12,0
Coca cola lattina 33cl,Bevanda,35,0,32,0
